Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Lane Swim,Tuesday February 18,,,7:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2018231
Brewer Pool and Arena,/en/recreation-and-parks/recreation-facilities/facility-listing/brewer-pool-and-arena,Lane Swim,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1976796
Kanata Leisure Centre and Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/kanata-leisure-centre-and-wave-pool,Lane Swim,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1933361
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871616
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,Aqua- Turbo,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425611
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1631061
St-Laurent Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/st-laurent-complex,Cardio and Strength Older Adult,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1390754
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Core Conditioning,Tuesday February 18,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1877816
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball (Older Adult),Tuesday February 18,,,8:00 am - 9:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1950906
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Bootcamp,Tuesday February 18,,,8:00 am - 8:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031326
Ray Friel Recreation Complex,/en/recreation-and-parks/recreation-facilities/facility-listing/ray-friel-recreation-complex,TMC,Tuesday February 18,,,8:15 am - 9:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1413544
CARDELREC Recreation Complex Goulbourn,/en/recreation-and-parks/recreation-facilities/facility-listing/cardelrec-recreation-complex-goulbourn,50+ Swim,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1898971
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Aqua- Turbo,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021461
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General Lite *Heartwise,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2059436
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Lane Swim,Tuesday February 18,,,8:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1866571
Minto Recreation Complex - Barrhaven,/en/recreation-and-parks/recreation-facilities/facility-listing/minto-recreation-complex-barrhaven,Aqua- TMC,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1878651
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Aqua- Turbo,Tuesday February 18,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1419111
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Lane Swim,Tuesday February 18,,,8:30 am - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1418514
