Facility,Facility-link,Facility-Activity,Date,Time-start,Time-end,Time,Details,details-link
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Yoga,Tuesday June 2,,,10:20 am - 11:20 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2021216
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Public Swim,Tuesday June 2,,,10:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1941656
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength Older Adult,Tuesday June 2,,,10:30 am - 11:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429148
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Tuesday June 2,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1452701
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Tuesday June 2,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2028921
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Zumba® Gold Older Adult,Tuesday June 2,,,11:00 am - 12:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2041896
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga,Tuesday June 2,,,11:00 am - 11:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429400
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Yoga Older Adult,Tuesday June 2,,,11:25 am - 12:25 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2022231
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Basketball (Adult),Tuesday June 2,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901271
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Tuesday June 2,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2008481
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday June 2,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004196
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Tuesday June 2,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1929896
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Volleyball (Adult),Tuesday June 2,,,11:45 am - 1:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1982876
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,TMC,Tuesday June 2,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1367245
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Bootcamp,Tuesday June 2,,,12:15 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1845296
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Pickleball,Tuesday June 2,,,12:30 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1974676
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday June 2,,,1:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004811
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General Lite,Tuesday June 2,,,1:00 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1876051
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- Turbo,Tuesday June 2,,,1:00 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407528
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Badminton,Tuesday June 2,,,1:00 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430511
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Pickleball,Tuesday June 2,,,1:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1980416
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton Older Adult,Tuesday June 2,,,1:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1983271
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Tuesday June 2,,,2:00 pm - 3:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1872446
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Preschool Swim,Tuesday June 2,,,2:00 pm - 4:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1929581
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton Older Adult,Tuesday June 2,,,2:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1983401
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Tuesday June 2,,,3:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1872686
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Basketball,Tuesday June 2,,,3:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430682
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Tuesday June 2,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2007986
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday June 2,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2005426
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Tuesday June 2,,,4:00 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2032201
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,TMC,Tuesday June 2,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1399654
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Public Swim,Tuesday June 2,,,5:00 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1623531
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,HIIT (High Intensity Interval Training),Tuesday June 2,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1926996
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Cardio and Strength,Tuesday June 2,,,6:00 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1424706
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Tuesday June 2,,,6:00 pm - 7:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2008736
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,TMC,Tuesday June 2,,,6:00 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408366
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Public Swim,Tuesday June 2,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1455616
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Tuesday June 2,,,7:00 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1628726
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Tuesday June 2,,,7:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1928461
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Kickboxing,Tuesday June 2,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408114
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton,Tuesday June 2,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1983531
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- TMC,Tuesday June 2,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1958921
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- TMC,Tuesday June 2,,,7:30 pm - 8:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1958921
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Tuesday June 2,,,8:00 pm - 9:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1930856
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton (Adult),Tuesday June 2,,,8:00 pm - 9:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1984436
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga,Tuesday June 2,,,8:00 pm - 8:55 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031586
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Tuesday June 2,,,8:30 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2006041
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Tuesday June 2,,,9:00 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871126
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Tuesday June 2,,,9:00 pm - 10:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1872926
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Wednesday June 3,,,6:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1870181
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Lane Swim,Wednesday June 3,,,6:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1627001
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Lane Swim,Wednesday June 3,,,6:00 am - 4:00 pm,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1927611
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Wednesday June 3,,,6:30 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2025571
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Indoor Cycling- Mix It Up,Wednesday June 3,,,6:30 am - 7:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429823
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,7:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2002601
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Wednesday June 3,,,7:00 am - 8:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1873896
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Step and Strength,Wednesday June 3,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425168
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Wednesday June 3,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1871616
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Wednesday June 3,,,8:00 am - 9:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1629781
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Preschool Swim,Wednesday June 3,,,8:00 am - 10:00 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1929236
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Pickleball,Wednesday June 3,,,8:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1980781
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- Turbo,Wednesday June 3,,,8:30 am - 9:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407446
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,TMC,Wednesday June 3,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1973221
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,9:00 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2003096
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- TMC,Wednesday June 3,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1959736
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Wednesday June 3,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1874491
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Aqua- General,Wednesday June 3,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2031726
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General,Wednesday June 3,,,9:00 am - 10:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1630421
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Bootcamp,Wednesday June 3,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430038
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength,Wednesday June 3,,,9:00 am - 9:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1428812
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Cardio and Strength,Wednesday June 3,,,9:15 am - 10:15 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2022436
Rideauview Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/rideauview-community-centre,Open Gym (Preschool),Wednesday June 3,,,9:30 am - 11:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1462981
Hintonburg Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hintonburg-community-centre,Open Gym (Preschool),Wednesday June 3,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1843006
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball,Wednesday June 3,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1901731
Overbrook Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/overbrook-community-centre,Pickleball (Older Adult),Wednesday June 3,,,9:30 am - 11:30 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1903246
Walter Baker Sports Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/walter-baker-sports-centre,Cardio and Strength Older Adult,Wednesday June 3,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2020046
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,TMC,Wednesday June 3,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408408
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General Lite *Heartwise,Wednesday June 3,,,9:30 am - 10:30 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2059631
François Dupuis Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/francois-dupuis-recreation-centre,Pickleball,Wednesday June 3,,,9:45 am - 11:15 am,Special instructions - Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1850076
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,50+ Vitality,Wednesday June 3,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1451681
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- General Lite,Wednesday June 3,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1958376
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Aqua- General,Wednesday June 3,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1875096
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Wednesday June 3,,,10:00 am - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2026046
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Aqua- General Lite,Wednesday June 3,,,10:00 am - 11:00 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1632551
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga,Wednesday June 3,,,10:00 am - 10:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429443
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Badminton,Wednesday June 3,,,10:15 am - 12:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1973651
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Wednesday June 3,,,10:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2007621
Splash Wave Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/splash-wave-pool,Public Swim,Wednesday June 3,,,10:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1941656
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Cardio and Strength Older Adult,Wednesday June 3,,,10:30 am - 11:25 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429148
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Wednesday June 3,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1452701
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Public Swim,Wednesday June 3,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1872321
Bob MacQuarrie Recreation Complex - Orléans,/en/recreation-and-parks/recreation-facilities/facility-listing/bob-macquarrie-recreation-complex-orleans,Lane Swim,Wednesday June 3,,,11:00 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1870776
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Zumba®,Wednesday June 3,,,11:00 am - 11:45 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1634436
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Yoga Older Adult,Wednesday June 3,,,11:00 am - 11:55 am,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430123
Hintonburg Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hintonburg-community-centre,Badminton (Adult),Wednesday June 3,,,11:30 am - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1725296
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004196
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Public Swim,Wednesday June 3,,,11:30 am - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1929896
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Pickleball,Wednesday June 3,,,11:30 am - 1:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430934
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Badminton (Adult),Wednesday June 3,,,11:45 am - 1:15 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1423748
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Cardio,Wednesday June 3,,,12:00 pm - 1:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1335961
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,TMC,Wednesday June 3,,,12:00 pm - 12:55 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1429951
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Pickleball,Wednesday June 3,,,1:00 pm - 2:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1425075
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,1:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2004811
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Aqua- General,Wednesday June 3,,,1:00 pm - 2:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1407043
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Pickleball,Wednesday June 3,,,1:30 pm - 3:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1431016
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Wednesday June 3,,,3:00 pm - 4:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1454141
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Basketball,Wednesday June 3,,,3:30 pm - 4:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1430767
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Public Swim,Wednesday June 3,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2007986
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Lane Swim,Wednesday June 3,,,4:00 pm - 5:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2005426
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Aqua- Turbo,Wednesday June 3,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1958096
Champagne Fitness Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/champagne-fitness-centre,Lane Swim,Wednesday June 3,,,5:00 pm - 9:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/2026646
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,TMC,Wednesday June 3,,,5:00 pm - 6:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1927131
Hunt Club-Riverside Park Community Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/hunt-club-riverside-park-community-centre,Cardio Older Adult,Wednesday June 3,,,5:30 pm - 6:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1424981
Plant Recreation Centre,/en/recreation-and-parks/recreation-facilities/facility-listing/plant-recreation-centre,Step and Strength,Wednesday June 3,,,5:30 pm - 6:30 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1367265
Richcraft Recreation Complex-Kanata,/en/recreation-and-parks/recreation-facilities/facility-listing/richcraft-recreation-complex-kanata,Zumba®,Wednesday June 3,,,6:00 pm - 7:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1408641
Nepean Sportsplex,/en/recreation-and-parks/recreation-facilities/facility-listing/nepean-sportsplex,Indoor Cycling- Interval,Wednesday June 3,,,6:00 pm - 6:55 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1431140
Lowertown Pool,/en/recreation-and-parks/recreation-facilities/facility-listing/lowertown-pool,Lane Swim,Wednesday June 3,,,7:00 pm - 8:00 pm,Details and Cancellations,/en/recreation-and-parks/drop-in-programs/1655331
